Top-weight coefficients of Psi(e_2^b) in E-basis, b = 2..6
Monomials: E1^a1 E2^a2 E3^a3 with a1 + a2 + 2*a3 = b
============================================================
  b   a1   a2   a3       coeff
------------------------------------------------------------
  2    2    0    0           2
  2    1    1    0          -3
  2    0    2    0           1
  2    0    0    1          -3

  3    3    0    0          -6
  3    2    1    0          11
  3    1    2    0          -6
  3    0    3    0           1
  3    1    0    1          25
  3    0    1    1          -9

  4    4    0    0          24
  4    3    1    0         -50
  4    2    2    0          35
  4    1    3    0         -10
  4    0    4    0           1
  4    2    0    1        -190
  4    1    1    1         118
  4    0    2    1         -18
  4    0    0    2          27

  5    5    0    0        -120
  5    4    1    0         274
  5    3    2    0        -225
  5    2    3    0          85
  5    1    4    0         -15
  5    0    5    0           1
  5    3    0    1        1526
  5    2    1    1       -1260
  5    1    2    1         340
  5    0    3    1         -30
  5    1    0    2        -615
  5    0    1    2         135

  6    6    0    0         720
  6    5    1    0       -1764
  6    4    2    0        1624
  6    3    3    0        -735
  6    2    4    0         175
  6    1    5    0         -21
  6    0    6    0           1
  6    4    0    1      -13356
  6    3    1    1       13276
  6    2    2    1       -4845
  6    1    3    1         770
  6    0    4    1         -45
  6    2    0    2       10300
  6    1    1    2       -4095
  6    0    2    2         405
  6    0    0    3        -405

