N,c_BDI,c_AII,BDI_d1,BDI_d2,BDI_d3,BDI_d4,BDI_d5,BDI_d6,AII_d1,AII_d2,AII_d3,AII_d4,AII_d5,AII_d6,ratio_AII_BDI
0,1,1,,,,,,,,,,,,,1.0
1,2,2,1,,,,,,1,,,,,,1.0
2,5,5,3,2,,,,,3,2,,,,,1.0
3,9,9,4,1,-1,,,,4,1,-1,,,,1.0
4,15,16,6,2,1,2,,,7,3,2,3,,,1.0666666666666667
5,23,25,8,2,0,-1,-3,,9,2,-1,-3,-6,,1.0869565217391304
6,34,39,11,3,1,1,2,5,14,5,3,4,7,13,1.1470588235294117
7,47,56,13,2,-1,-2,-3,-5,17,3,-2,-5,-9,-16,1.1914893617021276
8,64,80,17,4,2,3,5,8,24,7,4,6,11,20,1.25
9,84,109,20,3,-1,-3,-6,-11,29,5,-2,-6,-12,-23,1.2976190476190477
10,108,147,24,4,1,2,5,11,38,9,4,6,12,24,1.3611111111111112
11,136,192,28,4,0,-1,-3,-8,45,7,-2,-6,-12,-24,1.411764705882353
12,169,249,33,5,1,1,2,5,57,12,5,7,13,25,1.4733727810650887
13,206,315,37,4,-1,-2,-3,-5,66,9,-3,-8,-15,-28,1.529126213592233
14,249,396,43,6,2,3,5,8,81,15,6,9,17,32,1.5903614457831325
15,297,489,48,5,-1,-3,-6,-11,93,12,-3,-9,-18,-35,1.6464646464646464
16,351,600,54,6,1,2,5,11,111,18,6,9,18,36,1.7094017094017093
17,411,726,60,6,0,-1,-3,-8,126,15,-3,-9,-18,-36,1.7664233576642336
18,478,874,67,7,1,1,2,5,148,22,7,10,19,37,1.8284518828451883
19,551,1040,73,6,-1,-2,-3,-5,166,18,-4,-11,-21,-40,1.8874773139745917
20,632,1232,81,8,2,3,5,8,192,26,8,12,23,44,1.9493670886075949
21,720,1446,88,7,-1,-3,-6,-11,214,22,-4,-12,-24,-47,2.0083333333333333
22,816,1690,96,8,1,2,5,11,244,30,8,12,24,48,2.071078431372549
23,920,1960,104,8,0,-1,-3,-8,270,26,-4,-12,-24,-48,2.130434782608696
24,1033,2265,113,9,1,1,2,5,305,35,9,13,25,49,2.1926427879961277
25,1154,2600,121,8,-1,-2,-3,-5,335,30,-5,-14,-27,-52,2.2530329289428077
26,1285,2975,131,10,2,3,5,8,375,40,10,15,29,56,2.315175097276265
27,1425,3385,140,9,-1,-3,-6,-11,410,35,-5,-15,-30,-59,2.375438596491228
28,1575,3840,150,10,1,2,5,11,455,45,10,15,30,60,2.4380952380952383
29,1735,4335,160,10,0,-1,-3,-8,495,40,-5,-15,-30,-60,2.4985590778097984
30,1906,4881,171,11,1,1,2,5,546,51,11,16,31,61,2.5608604407135362
31,2087,5472,181,10,-1,-2,-3,-5,591,45,-6,-17,-33,-64,2.621945376137997
32,2280,6120,193,12,2,3,5,8,648,57,12,18,35,68,2.6842105263157894
33,2484,6819,204,11,-1,-3,-6,-11,699,51,-6,-18,-36,-71,2.745169082125604
34,2700,7581,216,12,1,2,5,11,762,63,12,18,36,72,2.807777777777778
35,2928,8400,228,12,0,-1,-3,-8,819,57,-6,-18,-36,-72,2.8688524590163933
36,3169,9289,241,13,1,1,2,5,889,70,13,19,37,73,2.9312085831492585
37,3422,10241,253,12,-1,-2,-3,-5,952,63,-7,-20,-39,-76,2.9926943308007012
38,3689,11270,267,14,2,3,5,8,1029,77,14,21,41,80,3.0550284629981026
39,3969,12369,280,13,-1,-3,-6,-11,1099,70,-7,-21,-42,-83,3.1164021164021163
40,4263,13552,294,14,1,2,5,11,1183,84,14,21,42,84,3.1789819376026274
41,4571,14812,308,14,0,-1,-3,-8,1260,77,-7,-21,-42,-84,3.2404287901990814
42,4894,16164,323,15,1,1,2,5,1352,92,15,22,43,85,3.3028197793216183
43,5231,17600,337,14,-1,-2,-3,-5,1436,84,-8,-23,-45,-88,3.36455744599503
44,5584,19136,353,16,2,3,5,8,1536,100,16,24,47,92,3.4269340974212033
45,5952,20764,368,15,-1,-3,-6,-11,1628,92,-8,-24,-48,-95,3.4885752688172045
46,6336,22500,384,16,1,2,5,11,1736,108,16,24,48,96,3.5511363636363638
47,6736,24336,400,16,0,-1,-3,-8,1836,100,-8,-24,-48,-96,3.6128266033254155
48,7153,26289,417,17,1,1,2,5,1953,117,17,25,49,97,3.67524115755627
49,7586,28350,433,16,-1,-2,-3,-5,2061,108,-9,-26,-51,-100,3.7371473767466385
50,8037,30537,451,18,2,3,5,8,2187,126,18,27,53,104,3.799552071668533
51,8505,32841,468,17,-1,-3,-6,-11,2304,117,-9,-27,-54,-107,3.8613756613756616
52,8991,35280,486,18,1,2,5,11,2439,135,18,27,54,108,3.923923923923924
53,9495,37845,504,18,0,-1,-3,-8,2565,126,-9,-27,-54,-108,3.985781990521327
54,10018,40555,523,19,1,1,2,5,2710,145,19,28,55,109,4.04821321621082
55,10559,43400,541,18,-1,-2,-3,-5,2845,135,-10,-29,-57,-112,4.110237711904537
56,11120,46400,561,20,2,3,5,8,3000,155,20,30,59,116,4.172661870503597
