N,c_BDI,c_AII
0,1,1
1,2,2
2,5,5
3,9,9
4,15,16
5,23,25
6,34,39
7,47,56
8,64,80
9,84,109
10,108,147
11,136,192
12,169,249
13,206,315
14,249,396
15,297,489
16,351,600
17,411,726
18,478,874
19,551,1040
20,632,1232
21,720,1446
22,816,1690
23,920,1960
24,1033,2265
25,1154,2600
26,1285,2975
27,1425,3385
28,1575,3840
29,1735,4335
30,1906,4881
31,2087,5472
32,2280,6120
33,2484,6819
34,2700,7581
35,2928,8400
36,3169,9289
37,3422,10241
38,3689,11270
39,3969,12369
40,4263,13552
41,4571,14812
42,4894,16164
43,5231,17600
44,5584,19136
45,5952,20764
46,6336,22500
47,6736,24336
48,7153,26289
49,7586,28350
50,8037,30537
51,8505,32841
52,8991,35280
53,9495,37845
54,10018,40555
55,10559,43400
56,11120,46400
57,11700,49545
58,12300,52855
59,12920,56320
60,13561,59961
61,14222,63767
62,14905,67760
63,15609,71929
64,16335,76296
65,17083,80850
66,17854,85614
67,18647,90576
68,19464,95760
69,20304,101154
70,21168,106782
71,22056,112632
72,22969,118729
73,23906,125060
74,24869,131651
75,25857,138489
76,26871,145600
77,27911,152971
78,28978,160629
79,30071,168560
80,31192,176792
81,32340,185311
82,33516,194145
83,34720,203280
84,35953,212745
85,37214,222525
86,38505,232650
87,39825,243105
88,41175,253920
89,42555,265080
90,43966,276616
91,45407,288512
92,46880,300800
93,48384,313464
94,49920,326536
95,51488,340000
96,53089,353889
97,54722,368186
98,56389,382925
99,58089,398089
100,59823,413712
101,61591,429777
102,63394,446319
103,65231,463320
104,67104,480816
105,69012,498789
106,70956,517275
107,72936,536256
108,74953,555769
109,77006,575795
110,79097,596372
111,81225,617481
112,83391,639160
113,85595,661390
114,87838,684210
115,90119,707600
116,92440,731600
117,94800,756190
118,97200,781410
119,99640,807240
120,102121,833721
