ray_idx,ray,k_cols,n_decompositions_total,n_feasible_witnesses,supports_witness
0,prefix[1],1,1,1,1
1,prefix[2],1,1,1,1
2,prefix[3],1,1,1,1
3,prefix[4],1,1,1,1
4,prefix[5],1,1,1,1
5,prefix[6],1,1,1,1
6,prefix[7],1,1,1,1
7,prefix[8],1,1,1,1
8,long[1],1,1,1,1
9,short[1]+linkLHS,2,4,3,1
10,prefix[1]+long[2],2,4,3,1
11,prefix[2]+long[3],2,4,3,1
12,prefix[3]+long[4],2,4,3,1
13,prefix[4]+long[5],2,4,3,1
14,prefix[5]+long[6],2,4,3,1
15,prefix[6]+long[7],2,4,3,1
16,prefix[7]+long[8],2,4,3,1
17,prefix[1]+short[2]+linkLHS,3,9,5,1
18,prefix[2]+short[3]+linkLHS,3,9,5,1
19,prefix[3]+short[4]+linkLHS,3,9,5,1
20,prefix[4]+short[5]+linkLHS,3,9,5,1
21,prefix[5]+short[6]+linkLHS,3,9,5,1
22,prefix[6]+short[7]+linkLHS,3,9,5,1
