c,a,b,lambda,class,mu,K_lam_mu
5,6,5,"(6, 5, 5)",col_strict,"(16,)",0
5,6,5,"(6, 5, 5)",col_strict,"(15, 1)",0
5,6,5,"(6, 5, 5)",col_strict,"(14, 1, 1)",0
5,6,5,"(6, 5, 5)",col_strict,"(13, 1, 1, 1)",0
5,6,5,"(6, 5, 5)",col_strict,"(12, 1, 1, 1, 1)",0
5,6,5,"(6, 5, 5)",col_strict,"(11, 1, 1, 1, 1, 1)",0
5,6,5,"(6, 5, 5)",col_strict,"(10, 1, 1, 1, 1, 1, 1)",0
5,6,5,"(6, 5, 5)",col_strict,"(9, 1, 1, 1, 1, 1, 1, 1)",0
5,6,5,"(6, 5, 5)",col_strict,"(8, 1, 1, 1, 1, 1, 1, 1, 1)",0
5,6,5,"(6, 5, 5)",col_strict,"(7, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0
5,6,5,"(6, 5, 5)",col_strict,"(6, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",42
5,6,5,"(6, 5, 5)",col_strict,"(5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",462
5,6,5,"(6, 5, 5)",col_strict,"(4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",2475
5,6,5,"(6, 5, 5)",col_strict,"(3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",8580
5,6,5,"(6, 5, 5)",col_strict,"(2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",21021
5,6,5,"(6, 5, 5)",col_strict,"(1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",36036
5,6,5,"(6, 5, 5)",two_part,"(14, 2)",0
5,6,5,"(6, 5, 5)",two_part,"(13, 3)",0
5,6,5,"(6, 5, 5)",two_part,"(12, 4)",0
5,6,5,"(6, 5, 5)",two_part,"(11, 5)",0
5,6,5,"(6, 5, 5)",two_part,"(10, 6)",0
5,6,5,"(6, 5, 5)",two_part,"(9, 7)",0
5,6,5,"(6, 5, 5)",two_part,"(8, 8)",0
5,6,5,"(6, 5, 5)",hook_A,"(12, 2, 2)",0
5,6,5,"(6, 5, 5)",hook_A,"(10, 2, 2, 2)",0
5,6,5,"(6, 5, 5)",hook_A,"(8, 2, 2, 2, 2)",0
5,6,5,"(6, 5, 5)",hook_A,"(6, 2, 2, 2, 2, 2)",6
5,6,5,"(6, 5, 5)",hook_A,"(4, 2, 2, 2, 2, 2, 2)",135
5,6,5,"(6, 5, 5)",hook_A,"(2, 2, 2, 2, 2, 2, 2, 2)",560
5,7,6,"(7, 6, 5)",col_strict,"(18,)",0
5,7,6,"(7, 6, 5)",col_strict,"(17, 1)",0
5,7,6,"(7, 6, 5)",col_strict,"(16, 1, 1)",0
5,7,6,"(7, 6, 5)",col_strict,"(15, 1, 1, 1)",0
5,7,6,"(7, 6, 5)",col_strict,"(14, 1, 1, 1, 1)",0
5,7,6,"(7, 6, 5)",col_strict,"(13, 1, 1, 1, 1, 1)",0
5,7,6,"(7, 6, 5)",col_strict,"(12, 1, 1, 1, 1, 1, 1)",0
5,7,6,"(7, 6, 5)",col_strict,"(11, 1, 1, 1, 1, 1, 1, 1)",0
5,7,6,"(7, 6, 5)",col_strict,"(10, 1, 1, 1, 1, 1, 1, 1, 1)",0
5,7,6,"(7, 6, 5)",col_strict,"(9, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0
5,7,6,"(7, 6, 5)",col_strict,"(8, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",0
5,7,6,"(7, 6, 5)",col_strict,"(7, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",132
