c,a,b,f_lambda,M_0,M_1,M_2,M_3,M_4,M_5,M_6,M_7,M_8
5,6,5,36036,36036,15015,6336,2709,1173,513,,,
5,7,6,466752,466752,187616,76076,31130,12856,5356,2248,,
5,8,5,408408,408408,160160,63063,24904,9844,3882,,,
5,8,7,4157010,4157010,1619046,634348,250107,99264,39670,15969,6477,
5,9,6,4837248,4837248,1845792,705952,270426,103632,39660,15120,,
5,9,8,31039008,31039008,11757200,4471272,1707732,655304,252780,98100,38346,15120
5,10,5,2469012,2469012,909636,333788,121667,43883,15575,,,
5,10,7,40738698,40738698,15166788,5652738,2108106,786149,292890,108885,40327,
5,10,9,208220012,208220012,76950874,28511210,10593856,3949218,1477931,555742,210245,80164
5,11,6,28651392,28651392,10356672,3729120,1335024,473968,166280,57360,,
5,11,8,292880896,292880896,106646848,38842688,14146448,5150016,1873300,680480,246680,89152
5,11,10,1297994880,1297994880,469275072,169918672,61636152,22407360,8168992,2989116,1099098,406784
5,12,5,10744272,10744272,3720960,1274184,429696,141912,45540,,,
5,12,7,238292604,238292604,84611142,29930472,10534050,3682314,1275525,436455,146880,
5,12,9,1912224600,1912224600,682517088,243515514,86837904,30945168,11018180,3919149,1392372,493932
5,12,11,7666282260,7666282260,2717676780,964135620,342392274,121766478,43390494,15504762,5561647,2005542
5,13,6,125520384,125520384,42977088,14573760,4880496,1607808,518312,162304,,
5,13,8,1699755200,1699755200,593606816,206557208,71549668,24642928,8426360,2854848,955704,314864
5,13,10,11681953920,11681953920,4094864800,1434213024,501891612,175474272,61295064,21392640,7460362,2599776
5,13,12,43432905600,43432905600,15126632640,5269241120,1836329936,640490912,223696880,78288128,27480544,9686768
5,14,5,37754178,37754178,12311145,3943830,1234761,375177,109549,,,
5,14,7,1051723530,1051723530,355967964,119476731,39683457,13007907,4192848,1322442,405306,
5,14,9,11043097065,11043097065,3797890525,1301620232,444256461,150885251,50944036,17077170,5673591,1863543
5,14,11,67931778915,67931778915,23424751350,8068525465,2776076149,954126173,327611148,112397098,38537422,13208195
5,14,13,238027834440,238027834440,81582120675,27955252710,9579509775,3283878015,1126677618,387125190,133319304,46065448
5,15,6,449935200,449935200,146055888,46711500,14663250,4495464,1336980,382104,,
5,15,8,7558911360,7558911360,2529635680,840340512,276685068,90116848,28961676,9153408,2831864,851904
5,15,10,67257131760,67257131760,22805579160,7707185460,2594812482,869841432,290145732,96222312,31691268,10349808
5,15,12,380165667840,380165667840,129149022240,43816137120,14846445720,5024549088,1698720308,573834048,193733904,65390976
