a,b,j,H_5,v_2
3,0,2,88200,3
3,0,3,27000,3
3,0,6,70200,3
3,0,7,592200,3
3,0,10,35896680,3
3,0,11,98875800,3
7,0,2,891000,3
7,0,3,491400,3
7,0,6,102600,3
7,0,7,761400,3
7,0,10,41391000,3
7,0,11,111018600,3
7,4,2,33180840,3
7,4,3,23255640,3
7,4,6,2735640,3
7,4,7,622440,3
7,4,10,2213640,3
7,4,11,14766840,3
11,0,2,3767400,3
11,0,3,2522520,3
11,0,6,480600,3
11,0,7,1045800,3
11,0,10,47161800,3
11,0,11,123852600,3
11,4,2,123956280,3
11,4,3,95989320,3
11,4,6,24787080,3
11,4,7,11564280,3
11,4,10,1333080,3
11,4,11,8925480,3
11,8,2,781288200,3
11,8,3,655313400,3
11,8,6,267939000,3
11,8,7,166509000,3
11,8,10,13645800,3
11,8,11,3979800,3
15,0,2,10814040,3
15,0,3,7986600,3
15,0,6,2241000,3
15,0,7,2159640,3
15,0,10,52817400,3
15,0,11,136571400,3
15,4,2,333675720,3
15,4,3,273336120,3
15,4,6,101293560,3
15,4,7,60541320,3
15,4,10,5717160,3
15,4,11,7657560,3
15,8,2,2055180600,3
15,8,3,1787200200,3
15,8,6,901038600,3
15,8,7,637169400,3
15,8,10,125587800,3
15,8,11,54469800,3
15,12,2,7143935400,3
15,12,3,6421002840,3
15,12,6,3847397400,3
15,12,7,2991479400,3
15,12,10,978453000,3
15,12,11,567243000,3
19,0,2,24864840,3
19,0,3,19487160,3
19,0,6,7157880,3
19,0,7,5554440,3
19,0,10,58703400,3
19,0,11,149105880,3
19,4,2,737656920,3
19,4,3,626420520,3
19,4,6,285961320,3
19,4,7,193840920,3
19,4,10,34558200,3
19,4,11,19510920,3
19,8,2,4476733800,3
19,8,3,3987106200,3
19,8,6,2290541400,3
19,8,7,1745116200,3
19,8,10,524953800,3
19,8,11,294617400,3
19,12,2,15444891000,3
19,12,3,14129466120,3
19,12,6,9279376200,3
19,12,7,7579769400,3
19,12,10,3191189400,3
19,12,11,2134420200,3
19,16,2,39710242440,3
19,16,3,36946740600,3
19,16,6,26376262200,3
19,16,7,22483508040,3
19,16,10,11559882600,3
19,16,11,8564232600,3
23,0,2,49491000,3
23,0,3,40365000,3
23,0,6,17742600,3
23,0,7,13419000,3
23,0,10,65902680,3
23,0,11,162124200,3
23,4,2,1429797096,3
23,4,3,1244946456,3
23,4,6,651076056,3
23,4,7,476329896,3
23,4,10,125627976,3
23,4,11,71612856,3
23,8,2,8588562840,3
23,8,3,7779905640,3
23,8,6,4885289640,3
23,8,7,3906244440,3
23,8,10,1505987640,3
23,8,11,970512840,3
23,12,2,29474270280,3
23,12,3,27307982520,3
23,12,6,19121545080,3
23,12,7,16149014280,3
23,12,10,7982551080,3
23,12,11,5809515480,3
23,16,2,75537628920,3
23,16,3,70994144520,3
23,16,6,53263231560,3
23,16,7,46552718520,3
23,16,10,26833115160,3
23,16,11,21041539560,3
23,20,2,161731575720,3
