Samples per k: 171

k=7:
    D=0, N=1: y-col is pivot -> no consistent solution (0.0s)
    D=1, N=3: y-col is pivot -> no consistent solution (0.0s)
    D=2, N=6: y-col is pivot -> no consistent solution (0.0s)
    D=3, N=10: y-col is pivot -> no consistent solution (0.0s)
    D=4, N=15: y-col is pivot -> no consistent solution (0.0s)
    D=5, N=21: y-col is pivot -> no consistent solution (0.0s)
    D=6, N=28: y-col is pivot -> no consistent solution (0.0s)
    D=7, N=36: y-col is pivot -> no consistent solution (0.0s)
    D=8, N=45: y-col is pivot -> no consistent solution (0.0s)
    D=9, N=55: y-col is pivot -> no consistent solution (0.1s)
    D=10, N=66: y-col is pivot -> no consistent solution (0.1s)
    D=11, N=78: y-col is pivot -> no consistent solution (0.1s)
    D=12, N=91: y-col is pivot -> no consistent solution (0.2s)
    D=13, N=105: y-col is pivot -> no consistent solution (0.4s)
    D=14, N=120: y-col is pivot -> no consistent solution (0.7s)
    D=15, N=136: y-col is pivot -> no consistent solution (1.4s)
    D=16, N=153: OK integer solution (2.8s)

k=8:
    D=0, N=1: y-col is pivot -> no consistent solution (0.0s)
    D=1, N=3: y-col is pivot -> no consistent solution (0.0s)
    D=2, N=6: y-col is pivot -> no consistent solution (0.0s)
    D=3, N=10: y-col is pivot -> no consistent solution (0.0s)
    D=4, N=15: y-col is pivot -> no consistent solution (0.0s)
    D=5, N=21: y-col is pivot -> no consistent solution (0.0s)
    D=6, N=28: y-col is pivot -> no consistent solution (0.0s)
    D=7, N=36: y-col is pivot -> no consistent solution (0.0s)
    D=8, N=45: y-col is pivot -> no consistent solution (0.0s)
    D=9, N=55: y-col is pivot -> no consistent solution (0.1s)
    D=10, N=66: y-col is pivot -> no consistent solution (0.1s)
    D=11, N=78: y-col is pivot -> no consistent solution (0.1s)
    D=12, N=91: y-col is pivot -> no consistent solution (0.2s)
    D=13, N=105: y-col is pivot -> no consistent solution (0.4s)
    D=14, N=120: y-col is pivot -> no consistent solution (0.7s)
    D=15, N=136: y-col is pivot -> no consistent solution (1.4s)
    D=16, N=153: OK integer solution (2.8s)

k=9:
    D=0, N=1: y-col is pivot -> no consistent solution (0.0s)
    D=1, N=3: y-col is pivot -> no consistent solution (0.0s)
    D=2, N=6: y-col is pivot -> no consistent solution (0.0s)
    D=3, N=10: y-col is pivot -> no consistent solution (0.0s)
    D=4, N=15: y-col is pivot -> no consistent solution (0.0s)
    D=5, N=21: y-col is pivot -> no consistent solution (0.0s)
    D=6, N=28: y-col is pivot -> no consistent solution (0.0s)
    D=7, N=36: y-col is pivot -> no consistent solution (0.0s)
    D=8, N=45: y-col is pivot -> no consistent solution (0.1s)
    D=9, N=55: y-col is pivot -> no consistent solution (0.1s)
    D=10, N=66: y-col is pivot -> no consistent solution (0.1s)
    D=11, N=78: y-col is pivot -> no consistent solution (0.1s)
    D=12, N=91: y-col is pivot -> no consistent solution (0.2s)
    D=13, N=105: y-col is pivot -> no consistent solution (0.4s)
    D=14, N=120: OK integer solution (0.7s)

k=10:
    D=0, N=1: y-col is pivot -> no consistent solution (0.0s)
    D=1, N=3: y-col is pivot -> no consistent solution (0.0s)
    D=2, N=6: y-col is pivot -> no consistent solution (0.0s)
    D=3, N=10: y-col is pivot -> no consistent solution (0.0s)
    D=4, N=15: y-col is pivot -> no consistent solution (0.0s)
    D=5, N=21: y-col is pivot -> no consistent solution (0.0s)
    D=6, N=28: y-col is pivot -> no consistent solution (0.0s)
    D=7, N=36: y-col is pivot -> no consistent solution (0.0s)
    D=8, N=45: y-col is pivot -> no consistent solution (0.0s)
    D=9, N=55: y-col is pivot -> no consistent solution (0.1s)
    D=10, N=66: y-col is pivot -> no consistent solution (0.1s)
    D=11, N=78: y-col is pivot -> no consistent solution (0.1s)
    D=12, N=91: y-col is pivot -> no consistent solution (0.2s)
    D=13, N=105: y-col is pivot -> no consistent solution (0.4s)
    D=14, N=120: OK integer solution (0.7s)

k=11:
    D=0, N=1: y-col is pivot -> no consistent solution (0.0s)
    D=1, N=3: y-col is pivot -> no consistent solution (0.0s)
    D=2, N=6: y-col is pivot -> no consistent solution (0.0s)
    D=3, N=10: y-col is pivot -> no consistent solution (0.0s)
    D=4, N=15: y-col is pivot -> no consistent solution (0.0s)
    D=5, N=21: y-col is pivot -> no consistent solution (0.0s)
    D=6, N=28: y-col is pivot -> no consistent solution (0.0s)
    D=7, N=36: y-col is pivot -> no consistent solution (0.0s)
    D=8, N=45: y-col is pivot -> no consistent solution (0.0s)
    D=9, N=55: y-col is pivot -> no consistent solution (0.1s)
    D=10, N=66: y-col is pivot -> no consistent solution (0.1s)
    D=11, N=78: y-col is pivot -> no consistent solution (0.1s)
    D=12, N=91: OK integer solution (0.2s)

k=12:
    D=0, N=1: y-col is pivot -> no consistent solution (0.0s)
    D=1, N=3: y-col is pivot -> no consistent solution (0.0s)
    D=2, N=6: y-col is pivot -> no consistent solution (0.0s)
    D=3, N=10: y-col is pivot -> no consistent solution (0.0s)
    D=4, N=15: y-col is pivot -> no consistent solution (0.0s)
    D=5, N=21: y-col is pivot -> no consistent solution (0.0s)
    D=6, N=28: y-col is pivot -> no consistent solution (0.0s)
    D=7, N=36: y-col is pivot -> no consistent solution (0.0s)
    D=8, N=45: y-col is pivot -> no consistent solution (0.0s)
    D=9, N=55: y-col is pivot -> no consistent solution (0.1s)
    D=10, N=66: y-col is pivot -> no consistent solution (0.1s)
    D=11, N=78: y-col is pivot -> no consistent solution (0.1s)
    D=12, N=91: OK integer solution (0.2s)
